"Freq [MHz]","((mag(V_out.v)*mag(I_out.i))/(mag(V_in.v)*mag(I_in.i)))*100 []"
6.0524,11.7247369641896
6.0525,11.7286868987727
6.0526,11.7326383288144
6.0527,11.7365912549208
6.0528,11.7405456776983
6.0529,11.7445015977532
6.053,11.7484590156925
6.0531,11.7524179321232
6.0532,11.7563783476525
6.0533,11.7603402628879
6.0534,11.7643036784371
6.0535,11.7682685949082
6.0536,11.7722350129094
6.0537,11.7762029330491
6.0538,11.780172355936
6.0539,11.7841432821793
6.054,11.7881157123878
6.0541,11.7920896471712
6.0542,11.796065087139
6.0543,11.8000420329013
6.0544,11.8040204850681
6.0545,11.8080004442499
6.0546,11.8119819110572
6.0547,11.815964886101
6.0548,11.8199493699923
6.0549,11.8239353633426
6.055,11.8279228667635
6.0551,11.8319118808667
6.0552,11.8359024062644
6.0553,11.8398944435689
6.0554,11.8438879933928
6.0555,11.8478830563488
6.0556,11.85187963305
6.0557,11.8558777241098
6.0558,11.8598773301416
6.0559,11.8638784517593
6.056,11.8678810895768
6.0561,11.8718852442084
6.0562,11.8758909162686
6.0563,11.8798981063722
6.0564,11.8839068151342
6.0565,11.8879170431697
6.0566,11.8919287910944
6.0567,11.8959420595238
6.0568,11.8999568490739
6.0569,11.903973160361
6.057,11.9079909940016
6.0571,11.9120103506122
6.0572,11.9160312308098
6.0573,11.9200536352116
6.0574,11.9240775644351
6.0575,11.9281030190978
6.0576,11.9321299998177
6.0577,11.936158507213
6.0578,11.940188541902
6.0579,11.9442201045033
6.058,11.9482531956359
6.0581,11.9522878159188
6.0582,11.9563239659716
6.0583,11.9603616464136
6.0584,11.9644008578649
6.0585,11.9684416009454
6.0586,11.9724838762756
6.0587,11.9765276844761
6.0588,11.9805730261676
6.0589,11.9846199019713
6.059,11.9886683125084
6.0591,11.9927182584005
6.0592,11.9967697402695
6.0593,12.0008227587374
6.0594,12.0048773144264
6.0595,12.0089334079592
6.0596,12.0129910399585
6.0597,12.0170502110474
6.0598,12.0211109218491
6.0599,12.0251731729871
6.06,12.0292369650852
6.0601,12.0333022987676
6.0602,12.0373691746582
6.0603,12.0414375933818
6.0604,12.045507555563
6.0605,12.0495790618268
6.0606,12.0536521127985
6.0607,12.0577267091035
6.0608,12.0618028513677
6.0609,12.0658805402169
6.061,12.0699597762773
6.0611,12.0740405601755
6.0612,12.0781228925382
6.0613,12.0822067739923
6.0614,12.086292205165
6.0615,12.0903791866837
6.0616,12.0944677191763
6.0617,12.0985578032705
6.0618,12.1026494395946
6.0619,12.1067426287771
6.062,12.1108373714466
6.0621,12.114933668232
6.0622,12.1190315197625
6.0623,12.1231309266676
6.0624,12.1272318895768
6.0625,12.1313344091202
6.0626,12.1354384859279
6.0627,12.1395441206302
6.0628,12.1436513138579
6.0629,12.1477600662418
6.063,12.151870378413
6.0631,12.1559822510031
6.0632,12.1600956846437
6.0633,12.1642106799665
6.0634,12.1683272376037
6.0635,12.1724453581879
6.0636,12.1765650423514
6.0637,12.1806862907273
6.0638,12.1848091039487
6.0639,12.188933482649
6.064,12.1930594274617
6.0641,12.1971869390207
6.0642,12.2013160179603
6.0643,12.2054466649146
6.0644,12.2095788805183
6.0645,12.2137126654064
6.0646,12.2178480202139
6.0647,12.2219849455762
6.0648,12.2261234421288
6.0649,12.2302635105076
6.065,12.2344051513488
6.0651,12.2385483652887
6.0652,12.2426931529638
6.0653,12.2468395150111
6.0654,12.2509874520676
6.0655,12.2551369647706
6.0656,12.2592880537578
6.0657,12.2634407196671
6.0658,12.2675949631365
6.0659,12.2717507848043
6.066,12.2759081853091
6.0661,12.2800671652898
6.0662,12.2842277253854
6.0663,12.2883898662354
6.0664,12.2925535884793
6.0665,12.2967188927568
6.0666,12.3008857797081
6.0667,12.3050542499736
6.0668,12.3092243041939
6.0669,12.3133959430097
6.067,12.3175691670621
6.0671,12.3217439769925
6.0672,12.3259203734425
6.0673,12.3300983570538
6.0674,12.3342779284686
6.0675,12.3384590883293
6.0676,12.3426418372784
6.0677,12.3468261759586
6.0678,12.3510121050132
6.0679,12.3551996250854
6.068,12.3593887368189
6.0681,12.3635794408575
6.0682,12.3677717378451
6.0683,12.3719656284262
6.0684,12.3761611132455
6.0685,12.3803581929476
6.0686,12.3845568681778
6.0687,12.3887571395812
6.0688,12.3929590078036
6.0689,12.3971624734908
6.069,12.4013675372888
6.0691,12.405574199844
6.0692,12.4097824618031
6.0693,12.4139923238126
6.0694,12.41820378652
6.0695,12.4224168505725
6.0696,12.4266315166177
6.0697,12.4308477853033
6.0698,12.4350656572776
6.0699,12.4392851331889
6.07,12.4435062136858
6.0701,12.4477288994171
6.0702,12.4519531910319
6.0703,12.4561790891798
6.0704,12.4604065945101
6.0705,12.4646357076728
6.0706,12.468866429318
6.0707,12.4730987600961
6.0708,12.4773327006577
6.0709,12.4815682516536
6.071,12.485805413735
6.0711,12.4900441875534
6.0712,12.4942845737602
6.0713,12.4985265730074
6.0714,12.5027701859471
6.0715,12.5070154132317
6.0716,12.5112622555139
6.0717,12.5155107134465
6.0718,12.5197607876827
6.0719,12.5240124788759
6.072,12.5282657876796
6.0721,12.532520714748
6.0722,12.536777260735
6.0723,12.5410354262952
6.0724,12.5452952120831
6.0725,12.5495566187537
6.0726,12.5538196469622
6.0727,12.5580842973639
6.0728,12.5623505706146
6.0729,12.5666184673702
6.073,12.5708879882869
6.0731,12.575159134021
6.0732,12.5794319052294
6.0733,12.5837063025689
6.0734,12.5879823266968
6.0735,12.5922599782704
6.0736,12.5965392579476
6.0737,12.6008201663863
6.0738,12.6051027042446
6.0739,12.6093868721812
6.074,12.6136726708545
6.0741,12.6179601009238
6.0742,12.6222491630481
6.0743,12.626539857887
6.0744,12.6308321861002
6.0745,12.6351261483477
6.0746,12.6394217452898
6.0747,12.6437189775869
6.0748,12.6480178458999
6.0749,12.6523183508898
6.075,12.6566204932177
6.0751,12.6609242735452
6.0752,12.6652296925342
6.0753,12.6695367508467
6.0754,12.6738454491449
6.0755,12.6781557880913
6.0756,12.6824677683488
6.0757,12.6867813905805
6.0758,12.6910966554496
6.0759,12.6954135636198
6.076,12.6997321157547
6.0761,12.7040523125186
6.0762,12.7083741545758
6.0763,12.7126976425907
6.0764,12.7170227772284
6.0765,12.7213495591538
6.0766,12.7256779890323
6.0767,12.7300080675296
6.0768,12.7343397953115
6.0769,12.7386731730441
6.077,12.7430082013938
6.0771,12.7473448810273
6.0772,12.7516832126115
6.0773,12.7560231968134
